Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Brazil,BRA,60.8,32,20.4,19.2,18.1,17.2,16.6,16.2,16,16,16.2,16.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Brunei Darussalam,BRN,12.2,9.4,9,9,9,9.1,9.3,9.5,9.7,9.9,10.1,10.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Bulgaria,BGR,22.1,21,15,14.2,13.7,13.3,13,12.6,12,11.5,10.9,10.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Burkina Faso,BFA,202.2,185.7,149.4,139.9,130.4,121.4,113.5,106.9,101.4,96.6,92.4,88.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Burundi,BDI,171.8,152.2,120.9,114.5,108.6,103.5,98.8,94.9,91.2,87.8,84.6,81.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Cabo Verde,CPV,62.7,35.5,27.9,28.1,28.2,28.1,27.8,27.3,26.6,25.9,25.2,24.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Cambodia,KHM,117.3,108.3,60.4,55.8,51.5,47.3,43.1,39.3,35.8,32.9,30.6,28.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Cameroon,CMR,138,150.4,120.7,116.6,112.8,109,104.8,101,97.4,93.9,90.6,87.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Canada,CAN,8.3,6.2,6,5.9,5.8,5.7,5.6,5.4,5.3,5.2,5,4.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Central African Republic,CAF,176.5,174.8,163.9,161.3,158.2,154.2,150.2,146.2,142.1,138.5,134,130.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Chad,TCD,214.6,190.2,174.6,171.5,168,164,160.1,156,151.6,147.1,142.9,138.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Chile,CHL,19.1,10.9,9,8.9,8.9,8.8,8.8,8.7,8.6,8.4,8.3,8.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,China,CHN,53.8,36.9,21.9,20.1,18.5,17,15.7,14.5,13.4,12.3,11.4,10.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Colombia,COL,35.1,25.1,20.9,20.3,19.7,19.1,18.5,18,17.4,16.9,16.4,15.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Comoros,COM,125.1,101.1,95.7,93.5,91.2,88.5,86,83.3,80.9,78.3,75.9,73.5
